Designator,Footprint,Quantity,Value,LCSC Part #
"A1, A2, A3",Pololu_Breakout-16_15.2x20.3mm,3,Pololu_Breakout_DRV8825,
"C1, C2, C4",CP_Radial_D5.0mm_P2.50mm,3,C_Polarized,
C3,CP_Radial_D8.0mm_P3.80mm,1,C_Polarized,
"C5, C7, C8, C9",CP_Radial_D8.0mm_P3.50mm,4,C_Polarized,
"D1, D3, D4",1206,3,LED_Small,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"J1, J11, Tir.1",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,3,Conn_01x02,
"J10, J2, J4",Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,3,Conn_01x04,
"J12, J13, J14, J15, J16, J17",Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,6,Conn_01x02,
"J18, J22, J3",PinHeader_1x03_P2.54mm_Vertical,3,Conn_01x03,
"J19, J20, J21",PinHeader_2x03_P2.54mm_Vertical,3,Conn_02x03_Odd_Even,
"J23, J5",JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,2,Conn_01x05,
J24,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
J6,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,Conn_01x02,
"J7, J8, J9",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,3,Conn_01x04,
"R1, R2",1206,2,R,
"R3, R4, R5",1206,3,R_Small,
U1,Traco 2- 24xx,1,TSR_2-2450,
U2,ESP32-S3-DevKitC,1,ESP32-S3-DevKitC,
U3,Traco 2- 24xx,1,TSR_2-2433,
U4,Traco TEN 50 series,1,TEN_50-2411WI,
U5,PCA9685breakout,1,~,
