Designator,Mid X,Mid Y,Rotation,Layer
A1,10.585,49.99,0.0,top
A2,10.635,72.965,0.0,top
A3,10.585,95.765,0.0,top
C1,57.85,2.0,90.0,top
C2,75.555113,17.5,180.0,top
C3,23.35,2.75,90.0,top
C4,67.6,17.75,180.0,top
C5,60.6,10.5,180.0,top
C7,4.5,74.647349,90.0,top
C8,4.4,52.072349,90.0,top
C9,4.475,28.547349,90.0,top
D1,73.67,25.6825,180.0,top
D3,73.67,23.1575,180.0,top
D4,17.925,18.475,270.0,top
J1,87.5,88.0,0.0,top
J10,4.6,90.735,270.0,top
J11,89.1,94.5,90.0,top
J12,23.81,26.75,0.0,top
J13,23.81,19.75,0.0,top
J14,23.81,12.75,0.0,top
J15,59.8,18.4,180.0,top
J16,59.8,25.3,180.0,top
J17,59.8,32.2,180.0,top
J18,36.6,96.025,0.0,top
J19,19.9,26.0,90.0,bottom
J2,4.6,44.88,270.0,top
J20,29.6,57.75,180.0,top
J21,29.64,80.525,180.0,top
J22,84.3,98.3,0.0,top
J23,96.9,87.1,270.0,top
J24,93.3,55.5,180.0,top
J3,53.125,81.25,270.0,top
J4,4.6,67.89,270.0,top
J5,43.2,78.25,270.0,bottom
J6,5.8,20.2,270.0,top
J7,51.6,93.5,270.0,top
J8,46.6,93.5,270.0,bottom
J9,42.6,93.5,270.0,top
R1,67.2,84.5,180.0,top
R2,67.1,79.9,180.0,top
R3,68.445,25.7575,0.0,top
R4,68.445,23.1825,0.0,top
R5,17.925,13.25,90.0,top
Tir.1,49.3,70.6,0.0,top
U1,76.9,7.4,90.0,top
U2,58.0,98.6,0.0,top
U3,68.2,7.4,90.0,top
U4,41.6,26.0,90.0,top
U5,115.3,36.6,0.0,top
